Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$65K-$108K (Glassdoor est.),"HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Data Scientist to join our team.

The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.

What you'll do:

Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses
Optimize joint development efforts through database use and project design
Create automated reports and dashboard products, in order to display results to internal teams
Develop end-customer segmentation schemes by analyzing customer behavior
Perform ad hoc analyses and deliver recommendations
Develop and implement predictive models like decision tree, regression using R or similar
Communicate results and ideas to key decision makers

Required Skills/Abilities:

Master's Degree in Computer Science, Statistics, Applied Math or related field
Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics
Experience in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with programming languages such as Java / Python (or ""R"")
Experience conducting regression analyses
Understanding of relational databases and data management as well as experience with data aggregation and normalization
Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.)
Ability to approach tasks strategically, while owning and mastering the details
Exceptional problem solving, as well as analytical and strategic thinking skills
Initiative to own projects from start to finish
Strong oral and written communication skills, with ability to work well with people across the company at all levels

Preferred Skills/Abilities:

Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics
Experience conducting analyses and building predictive models using SAS (or similar)
Experience with business intelligence and data visualization tools preferred (like Domo or Tableau)

Physical Requirements:

Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)

HPOne is an Equal Opportunity Employer:

Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.",3.6,"HPOne
3.6","Trumbull, CT",-1,501 to 1000 Employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1
Sr Data Scientist,$66K-$110K (Glassdoor est.),"A world leader in the field of in vitro diagnostics for over 55 years, bioMérieux provides diagnostic solutions that detect disease and contamination to improve patient health and ensure consumer safety. bioMérieux’s global headquarters is located in Marcy L’Étoile, France, and we have more than 11,200 team members in 43 countries. With our distributor network, we serve more than 160 countries. bioMérieux, Inc., our Americas division, has more than 4,000 team members across 12 sites or subsidiaries. Our Americas headquarters is in Durham, NC, with nearly 1,200 team members. bioMérieux, Inc. sponsors public health initiatives and partnerships to address antimicrobial resistance, sepsis awareness, food safety, and consumer health. Our passionate team members recognize the power of diagnostics and rally behind our mission to help save lives.

Position Summary:

bioMerieux’s Data Science group is looking for an experienced Data Scientist to help develop solutions for the next generation product concepts that will have a direct impact on the future of medical diagnostics. The position involves all aspects of feasibility and design work focused on the application of mathematical techniques, data analytics, experiment design, algorithm design and statistical analysis to drive concepts from ideation through feasibility and into development. Algorithm design will involve statistical and machine learning methodologies from design to optimization. Additionally the Data Scientist will be required to support currently launched products, including manufacturing process development, quality analytics, product evolution and change requests. The position will include collaboration and interaction with other scientists and engineers while prototyping, integrating and testing the technology for the next generation of diagnostic products for hospitals and laboratories. Coordination as a project team member with marketing, project management, quality analytics, manufacturing, regulatory and other functional areas will be required. The Data Scientist is expected to prototype and design to the goals of functionality and operational utility while considering long term architecture, solution universality, practicality, connectivity, and schedule commitments. The position requires the ability to perform critical analysis, work well in teams, and self-manage.

Main Accountabilities:

Candidate must be well grounded in fundamentals of applied mathematics, data analytics, statistics.
Performance of statistical analysis to interpret experimental results.
Design experimental methods and plans to generate results that drive critical product design selections.
Experience with machine learning.
Implementation of algorithms using global software development tools, methodologies and processes.
Understanding and willingness to self-learn the technologies used in this domain to be up-to-date with the latest developments in data analytics, imaging and machine learning both in academia and in industry.
Aware and experience with the challenges associated with the transition of a prototype into a final product.
Experience with MATLAB, SAS, Python, etc.
Excellent written and verbal communication skills and the ability to interact well within a team.
Proficient analytical, problem-solving and debugging skills.
Must be able to perform in a small team environment with minimal supervision.
Enjoy working in areas outside of usual comfort zone and love to learn new technologies.
Ability to perform in a ISO/ FDA regulated environment.
Familiarity with or interest in biology, microbiology and biochemistry.

Studies/Experience, Skills and Qualifications:

M.S. or Ph.D. in Mathematics, Applied Mathematics, Statistics, Data Science, Biomedical, Electrical or Computer Engineering or Computer Science Desired: 3+ years of experience in the development of medical devices, medical diagnostics or other sensor based systems.
Proficient use of Development environments, MS Office Project, Excel, Word; Required.
Proficiency in Matlab, Python or equivalent programming experience. Code samples to be provided upon request; Required.

Joining bioMérieux, is choosing to join an innovative company with a long term vision, committed to the service of public health and carried out with a humanistic corporate culture. Our Group offers numerous possibilities: so come and join the 11,200 bioMérieux team members who already identify with these values!

bioMérieux is an Equal Opportunity, Affirmative Action Employer. M/F/Vet/Disability/Sexual Orientation/Gender Identity/GINA

BMXID",4.2,"Biomerieux
4.2","Saint Louis, MO",-1,10000+ Employees,1963,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
Senior Scientist I,$64K-$139K (Glassdoor est.),"Job Description Summary
The successful candidate is responsible for the development and evaluation of new reagents and enhancements to existing reagents; Recommends design direction and methodology for reagent components. Uses independent judgment to adapt and modify standard reagent development techniques to solve difficult reagent challenges; Operates with high proficiency in prioritizing workload for team members, assignment of testing, reviewing data, reporting results and communicating with other departments to coordinate routine work; Independently takes lead on troubleshooting and make corrective recommendations for others within team and participates and coordinates new product testing and documentation.

The individual is also responsible for routine, accurate and timely testing of samples according to standard protocols and operating procedures; Executes experiments independently and evaluates, discusses, presents and explains material of moderate to high complexity; Writes and reviews protocols; Works under general direction, but independently determines and defines approach to solutions; Will be relied on to exercise sound judgment and make decisions within broadly defined procedures and practices.

Job Description

DUTIES AND RESPONSIBILITIES:

Responsible for assessing feasibility and viability of new reagent systems.
Searches, Investigates, and supports development of new methods and technologies.
Designs and performs experiments to evaluate and optimize new reagent formulations and assay methods using some creative solutions.
Prepares protocols, technical reports, and summaries.
Tabulates and analyzes experimental data of moderate to high complexity.
Presents data at group meetings and Technical Reviews. May present data at national scientific meetings.
May serve as the technical lead scientist on a project. Provides problem solving capabilities to difficult problems.
Contributes to the completion of milestones associated with specific projects. Failure to achieve results or erroneous decisions may cause delays in program schedules.
Develops knowledge of BDB Cell Analysis products through training, use and competitor analysis.
Continues pursuit of cell analysis knowledge through seminars and webinars.
May provide training and mentoring to junior staff.
Participates in functional and cross-functional training to advance technical capabilities.
Participates in training on regulatory issues affecting reagent development. Brings regulatory compliance questions/issues to the attention of supervisor.
Promotes a safe work environment. Offers recommendations on maintaining the safety of the work environment. Participates in Environmental Health & Safety programs. Participates in addressing corrective actions whenever a hazard is identified. Notifies supervisor of all observed unsafe work practices.
Works under general supervision with minimal supervision.

KNOWLEDGE AND SKILLS

General knowledge of Immunology, Cell Biology or a related discipline.
Requires experience designing, performing, and analyzing flow cytometry experiments, preferably on BD flow cytometers (LSRII, LSR Fortessa, Canto, Aria).
Desired software skills: BD FACS Diva, FlowJo, FCS Express, and Microsoft Office Suite.
Effective interpersonal skills, must be able to work in a cross-functional team-oriented environment to achieve organizational goals.
Effective written and oral communication skills.
Effective interpersonal skills.
Demonstrated ability to follow established policies and procedures.
Demonstrated ability to keep neat, accurate, and complete records.
Demonstrated ability to interpret and present data of moderate to high complexity.
Effective analytical and problem-solving skills.

EDUCATION AND EXPERIENCE

Ph.D. in Immunology (or a related life science discipline) with a minimum of 2 years of laboratory experience in addition to PhD studies preferred; Or MS or Bachelor’s degree with minimum 8-10 years industry or research laboratory or equivalent experience.
Minimum of 4 years of experience operating a flow cytometer.
Experience with Immunohistochemistry is a plus.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status.

#LI-Pro

Primary Work Location
USA CA - San Diego (BDB)

Additional Locations

Work Shift",3.7,"BD
3.7","San Diego, CA",-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Scientist II,$43K-$96K (Glassdoor est.),"Job Description Summary
BD Biosciences, the leading provider of antibody reagents to the research immunology community, is seeking an outstanding Scientist II to join our highly motivated Research Development team. The Scientist II is responsible for the development and evaluation of new reagents and testing new antibodies for use in flow cytometry applications. The Associate is responsible for routine, accurate and timely testing of experimental samples according to standard protocols and operating procedures. The ability to execute scientific experiments of moderate scope is key. The successful candidate is expected to set up and execute these experiments, be detail oriented, skilled at data analysis and trouble shooting and will be accountable for preparing and presenting data at lab meetings. The Scientist II will prioritize daily workload and work with some supervision.

The associate will participate in the analysis and review of data, report results, and complete all required documentation and database entries. In general, the Scientist II will receive specific instructions and ongoing guidance regarding required tasks and expected results.

Job Description

DUTIES AND RESPONSIBILITIES:

Routine, accurate and timely completion of all assigned experimental tests. Will be expected to efficiently prioritize individual workload.
Independently analyze research data, solve problems with appropriate guidance and effectively plan follow up experiments. Responsible for the execution of experiments with varying complexity using multi-color Flow Cytometry.
Analyze data using FCS Express and FlowJo software, report test results including completion of all required documentation and database entries as required by protocols or operating procedures.
Expected under supervision to develop skills and exercise judgment in troubleshooting routine assigned test procedures and in recommending appropriate corrective actions.
Keeps abreast of the basic requirements for compliance in own area of work and complies with those requirements.
Promotes a safe work environment. Participates in Environmental, Health and Safety programs. Addresses corrective actions whenever a hazard is identified.
Performs other related duties and assignments as required.

KNOWLEDGE AND SKILLS

The ideal candidate has the following skills:
Software: BD FACS Diva, FlowJo, FCS Express, and Microsoft Office Suite.
Hands on experience: designing, performing, and analyzing flow cytometry experiments, preferably on BD flow cytometers (LSRII, LSR Fortessa, Canto, Aria).
Effective interpersonal skills, must be able to work in a cross-functional team-oriented environment to achieve organizational goals.
Effective written and oral communication skills.
Demonstrated ability to follow established policies and procedures.
Demonstrated ability to keep neat, accurate, and complete records.
Effective analytical and problem solving skills.

EDUCATION AND EXPERIENCE

Requires a Bachelor’s degree in cell biology, immunology or related scientific discipline and a minimum of 2-4 years of laboratory experience.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status.

#LI-Pro

Primary Work Location
USA CA - San Diego (BDB)

Additional Locations

Work Shift",3.7,"BD
3.7","San Diego, CA",-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Reagent Scientist II,$43K-$96K (Glassdoor est.),"Job Description Summary
BD is seeking a Reagent Scientist II to work within a team that develops new point-of-care assays for human in vitro diagnostic use. The Reagent Scientist II supports various individual R&D teams and is principally responsible for the formulation, organization, and quality control of assay buffers and consumables. The associate applies good laboratory practice and analytical skills to manage the overall reagent inventory, and works with other team members to resolve technical challenges. Works under the direction of Senior Scientists, Staff Scientists, or Sr. Staff Scientists.

Job Description

Duties and Responsibilities:

Manages raw material inventory and initiates resupply orders as needed.
Receives, aliquots, and labels all incoming materials and processes CoA’s in accordance with Quality Policy.
Monitors freezers and refrigerators to ensure proper storage conditions are maintained.
Prepares various molecular biology reaction buffers, leveraging GLP/GMP standards.
Assists in optimization and re-formulation of buffers to meet product development requirements.
Formulates and lyophilizes master mixes for Nucleic Acid Amplification Tests (NAATs).
Performs and/or interprets chemical analysis of prepared buffer lots; analyzes, interprets, and trends reagent QC data.
Maintains and manages associated equipment (ex: Lyophilizers, spectrophotometers, refractometers, etc.).
Assists in the optimization of lyophilization protocols, including the application of real-time temperature and pressure monitoring systems.
Utilizes a broad range of practical techniques in molecular biology and chemistry.
Develops and/or adapts Standard Operating Procedures (SOPs).
Maintains current knowledge of major technological and scientific developments in molecular diagnostics, and leverages this knowledge within responsibility areas.
Provides technical input to other scientists and provides support to other functional groups.
Might assist with product quality investigations.

Knowledge and Skills:

Skilled with a variety of complex laboratory procedures and instruments.
Demonstrated knowledge of lyophilization processes, and the application of lyophilization to molecular biology reagents
Familiar with national and international chemical testing standards.
Demonstrated ability to work effectively within a team, under direction, and independently.
Excellent oral and written communication skills.

Education and Experience:

Minimum of BS or BA degree in Molecular Biology, Chemistry, Biochemistry, or related discipline. Master’s degree preferred.
Minimum of 2 years of relevant academic, clinical, or industry lab work required.
Work experience in a laboratory requiring meticulous technique in the formulation of contamination-free, molecular grade buffers.
Experience in diagnostic product development under Design Control is preferred.
Experience working in a cGMP environment is preferred.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status.

#LI-Pro

Primary Work Location
USA CA - San Diego (Diagnostic Sys.)

Additional Locations

Work Shift",3.7,"BD
3.7","San Diego, CA",-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Staff Data Scientist I,$127K-$203K (Glassdoor est.),"Data Scientist – Machine Learning & Real-Time Decision Processing (Remote, US)

Valassis is a leader in online advertising technology. We process over 12 trillion calculations daily to analyze and decide on more than 110 billion digital ad requests. As a Data Scientist at Valassis your work is central to keeping us at the forefront of the AdTech industry.

We are seeking data experts who are passionate about using cutting edge technology and data science methods to solve unique and complex problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You have honed your skills through a combination of education, work experience, and hobbies. You are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data science team.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow the intelligence in our product suite. Our day to day work is performed in a progressive, high-tech workspace where we focus on a friendly, collaborative and fulfilling environment.

On any given day you’ll be…
Using geo location data to track foot traffic, commercial visitation and next most likely visit to understand consumer physical behavior.
Using online behavior data to determine the primary interest categories of consumers and the web properties they visit.
Implementing a predictive model to determine whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Monitoring & improving a system that deploys and refits 10’s of thousands of models daily.
Developing algorithms to optimize the setting of every lever in a high throughput real-time decision system.
Analyzing data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Finding the handful of outliers in billions of transactions.
Deriving a set of new features that will help better understand the interplay between geography and audience features to improve model performance.
Building new products with applied AI and bring them to market.
Participating in planning, roadmap, and architecture discussions to help evolve our AI processes to improve revenue-generating products.
Our ideal candidate will likely have…
The professional experience and desire to perform responsibilities similar to those listed above
An advanced degree in a relevant, quantitative field or equivalent experience working with Big Data and Spark in a professional setting
Ability to grow and ultimately mentor team members of varying experience levels and competencies through data science, product and software development life cycles
WHO WE ARE
Valassis is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuel superior display advertising and media offerings. Through proprietary technology and the Valassis Digital Consumer Graph™, we power the lifecycle of marketing campaigns – from planning to activation and measurement. In fact, 19 of 20 leading brands work with Valassis to drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis has a generous total rewards benefits package that includes medical, dental and vision coverage, 401k and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available; not to mention smart and friendly coworkers!

Valassis is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Applicants who have disabilities may request that accommodations be made in order to complete the selection process.

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf.

#LI-JM1",3.4,"Valassis
3.4","Morrisville, NC",-1,1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Scientist III- Purification and Tissue Culture,$53K-$117K (Glassdoor est.),"Job Description Summary Job Description JOB SUMMARY We are seeking a highly motivated and organized Scientist III to contribute to the research and development of monoclonal antibodies in our Antibody Discovery team. This individual will be responsible for working in a dynamic team environment and be a contributor to multiple workstreams, including, but not limited to, tissue culture and protein purification. The position requires not only extensive hands-on experience with a broad range of cell culture techniques but also expertise in protein purification and molecular biology, as well as an understanding of immunology. This individual will also be responsible for spearheading process improvements as well as the transfer of new processes to Operations. The successful candidate is expected to design, coordinate, and contribute to the execution of experiments with guidance. The ideal candidate will be detail-oriented, skilled at data analysis and troubleshooting with accountability for preparing and presenting data at lab meetings regarding required tasks and expected results. DUTIES AND RESPONSIBILITIES Responsible for maintenance, scale-up and characterization of hybridoma and other cell lines. Specific requirement for hands-on experience with aseptic and cell-culture techniques. Perform protein purification, including affinity chromatography as well as other related biochemical techniques including SDS-PAGE, Western Blot, UV-Vis spectrophotometry and FPLC. Assist with molecular biology and animal handling experiments. Day-to-day problem solving and cross-functional team-based activities to ensure that daily operations and timelines are met. Independently analyze own research data, solve problems with minimal guidance and effectively design and plan follow up experiments. Will be expected to efficiently prioritize individual workload. Involvement with scheduling, operational and maintenance duties required within the laboratory. Review and approval of data, drafting appropriate protocols, reports, batch records and process documents as required. KNOWLEDGE AND SKILLS Proficient in tissue culture techniques; including experience growing and producing antibodies from hybridomas. Experience with protein purification, including various affinity chromatography and biochemical techniques. Prefer familiarity with FPLC and/or HPLC. Molecular biology and cloning. Animal handling. Assay automation. Preparation of documentation for process transfer to Operations. Flexible team player with good problem-solving and communication skills. EDUCATION AND EXPERIENCE A Bachelor’s or Master of Science degree in cellular or molecular biology, biochemistry, immunology or related scientific discipline and a minimum of 4-6 years of laboratory experience required. Extensive tissue culture and/or purification experience required. Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status, or any other protected status. #LI-Pro Primary Work Location USA CA - San Diego (BDB) Additional Locations Work Shift",3.7,"BD
3.7","San Diego, CA",-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Staff Scientist I - Antibody Portfolio Development,$85K-$175K (Glassdoor est.),"Job Description Summary

Job Description

BD Biosciences, a segment of Becton, Dickinson and Company, is one of the world’s leading businesses focused on bringing innovative tools to life science researchers and clinicians. Its product lines include flow cytometers, cell imaging systems, monoclonal antibodies, research reagents, diagnostic assays, and tools to help grow tissue and cells.

Sirigen, Inc. is a subsidiary of BD Biosciences and produces polymeric reagents for use in Flow Cytometry and other biological applications.

The successful candidate is responsible for the creation of antibody product portfolios to support life science research in the fields of immunology and immuno-oncology. The Staff Scientist will draw from their strong knowledge of the field and their network to help shape BD’s future antibody portfolio. This role collaborates very closely with business development and marketing functions and requires identifying specific antibody clones and establishing contact with developers and tech transfer offices to create relationships. This role also has responsibility in product development in designing experiments, reviewing data and providing direction to other scientists.

Job Responsibilities:

Responsible for generating product portfolios for life science research for flow cytometry reagents in the fields of immunology and immuno-oncology.

Identifies new leads for antibody products and identifies and contacts antibody developers and tech transfer offices.

Establishes and maintains relationships with antibody developers.

Collaborates with marketing and business development functions to construct antibody portfolios.

Partners with business development to identify external opportunities for antibody portfolio expansion.

Designs strategies and experiments to validate antibodies and reviews data in a team setting.

May oversee day-to-day activities of other scientists.

Minimum Qualifications:

Education and Experience:

Minimum of a Master's Degree in Immunology or related life scienice discipline with at least 7 years of relevant experience or Ph.D. with 5+ years of relevant experience.

Minimum of 5 years’ experience in immunology research required.

Minimum of 3 years' experience in flow cytometry.

Knowledge and Skills:

Strong knowledge of Immunology and immuno-oncology.

Up-to-date on scientific trends through avid study of scientific literature, conferences and through external networking.

Strong team player who has a proven track record of collaborating on teams.

Effectively works in a matrixed environment.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status.

#LI-PRO

Primary Work Location
USA CA - San Diego (BDB)

Additional Locations

Work Shift",3.7,"BD
3.7","San Diego, CA",-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),-1
"Staff Scientist I, Automation & Assay Development",$85K-$175K (Glassdoor est.),"Job Description Summary

Job Description

This role is within the Research and Development Team with the candidate leading an effort to deploy automation solutions for the development and testing of flow cytometry reagents. The position requires extensive hands-on experience with implementing, integrating, and expanding automation solutions (e.g. Hamilton or other liquid handlers) to complex workstreams. Expertise with assay development as well as an understanding of protein biochemistry is also key to the success of the applicant. This position also requires an ability to lead collaborations across teams, understand multiple different workstreams within the business, and lead the evaluation of new technologies to apply to and improve upon current work streams.

Job Responsibilities:

Work with team members and lead the research and implementation of best in class automation solutions (e.g. liquid handlers and associated robotics).

Seek out internal user requirements and lead the team’s collaboration with external vendors.

Implement hardware integration from sample to data for varied workstreams.

Design, prepare, and lead validation/verification experiments for automated instrumentation, inclusive of report generation and communications with quality partners.

Collaborate with other associates and external vendors to develop and implement end to end solutions for data acquisition, storage, and analysis.

Collaborate and communicate with cross-functional and cross-site teams and individuals throughout all levels of the company including laboratory scientists, Operations, leadership governing teams.

Minimum Qualifications:

Education and Experience:

Minimum of a Graduate degree (MS or Ph.D) in engineering, molecular biology, biochemistry, immunology, or related scientific discipline with 7+ years of relevant experience, preferably in pharma/biotechnology industry.

Experience operating and developing methods for automated liquid handling systems.

Experience integrating liquid handling automation with other instruments for biological assays.

Biological or cell-based assay development experience for automation platforms, preferably for drug discovery or diagnostic assay development.

Documentation of experiments, writing validation reports (inclusive of statistical analysis), and SOP generation.

Strong creative thinking and problem-solving skills.

Protein biochemistry and/or bioinformatics/data analysis experience highly preferred.

Ability to program in languages such as Java, C#, or C++ and API development experience strongly preferred.

Previous experience programming Hamilton Robotics instrumentation is preferable.

Experience with assay reformatting or miniaturization for increasing sample throughput is an asset.

Becton, Dickinson and Company is an Equal Opportunity/Affirmative Action Employer. We do not unlawfully discriminate on the basis of race, color, religion, age, sex, creed, national origin, ancestry, citizenship status, marital or domestic or civil union status, familial status, affectional or sexual orientation, gender identity or expression, genetics, disability, military eligibility or veteran status.

#LI-PRO

Primary Work Location
USA CA - San Diego (BDB)

Additional Locations

Work Shift",3.7,"BD
3.7","San Diego, CA",-1,10000+ Employees,1897,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Analyst,$34K-$60K (Glassdoor est.),"We currently have a new opportunity for a Data Analyst to join our Accounting/Finance/Business Intelligence team. This position will work with data generated by a variety of credit union systems to create, validate, and generate business reports that management will use in decision making. This position will coordinate with various business areas to envision and develop report specifications, track the request pipeline and delivery metrics, suggest system enhancements, and create documentation.

Essential Functions and Responsibilities:

Build and maintain queries, dashboards, and reports.
Respond to day to day custom requests for data and reports.
Perform ad hoc data requests and analysis as needed.
Extract data from various systems.
Analyze results of data reports for anomalies, accuracy, and applicability to business unit requests.
Maintain and develop data dictionaries and documentation of deliverables. Actively participate in data quality related tasks.
Identify patterns and trends in data sets.
Provide recommendations and interpretations of data and information.
Assist with application used for workflow and cross sales program.

Desired Skills and Experience:

Bachelor’s degree in a business, computer, or data science preferred. MBA a plus.
Four years of experience working in database environments designing reports and working with extracts.
Excellent analytical skills with experience managing large amounts of data from various sources.
Experience combining, analyzing and presenting data in a clear manner.
Working knowledge of SQL preferred. Experience with Oracle databases a plus.
Proficient use of Microsoft Office, including Word, Excel and SQL databases.
Exposure to core banking systems a plus.
Strong written and verbal communication skills with the ability to interact with all levels of end users and technical resources.
Self-motivated with the ability to react to change, feedback and critique quickly and positively.
Strong attention to detail.
Open and collaborative style, comfortable working in an environment where ideas are shared and challenged.
Ability to conceptualize and implement items in a changing environment.

Fox Communities Credit Union is a $2 billion in assets community-based credit union servicing over 104,000 members at 23 locations. We take pride in being a progressive, member-owned, full service financial institution dedicated to serving the community.

Fox Communities Credit Union believes our employees are our most important asset. We offer a great team environment, competitive salary and an excellent benefit package which includes, medical, dental, vision, life, short-term and long-term disability insurance, 401k (Roth and Traditional), which includes company contributions including match, and paid time off! As part of our commitment to the communities we serve we also offer all employee’s Paid Volunteer Time Off! If you are enthusiastic about a rewarding career with a successful & growing credit union, apply now!

Equal Opportunity Employer of Minorities, Females, Protected Veterans, and Individuals with Disabilities.",3.9,"Fox Communities Credit Union
3.9","Appleton, WI",-1,201 to 500 Employees,1953,Company - Public,Investment Banking & Asset Management,Finance,$25 to $50 million (USD),-1
